month,trades,pf,winrate,dd,gp,gl
2023-09,3,0.0,0.0,-0.6148256514538764,0.0,-55.41941769448805
2023-10,6,0.6254066498547357,50.0,-0.5205787054693212,47.86687104153118,-76.71888567324777
2023-11,5,0.176884471550208,20.0,-0.881823297575024,18.180402736130166,-103.31918544616184
2023-12,0,,,,0.0,0.0
2024-01,0,,,,0.0,0.0
2024-02,4,0.0,0.0,-1.0036096882160228,0.0,-100.36096882160115
2024-03,2,0.3196360988772085,50.0,-0.23344400316398506,6.761448381941143,-21.16803660871542
2024-04,0,,,,0.0,0.0
2024-05,0,,,,0.0,0.0
2024-06,4,0.0,0.0,-0.9054512909245638,0.0,-88.41198638168393
2024-07,2,,100.0,-0.034508318657988646,21.747239463583334,0.0
2024-08,0,,,,0.0,0.0
2024-09,0,,,,0.0,0.0
2024-10,2,1.20792029050957,50.0,-0.2245083051739205,16.51961415476101,-13.69506944816882
2024-11,10,1.2409144959152012,50.0,-0.6774240600236903,131.53317313703909,-106.2460688459961
2024-12,6,0.5321309173529052,33.33333333333333,-0.5588528460192643,29.232252542025016,-54.96696094864199
2025-01,13,0.44247405984040783,23.076923076923077,-1.6682442893433014,92.90585771841998,-210.94253076113117
2025-02,4,0.6260645848556606,50.0,-0.3688697284931597,28.639877550532034,-45.8651561357295
2025-03,0,,,,0.0,0.0
2025-04,0,,,,0.0,0.0
2025-05,7,0.0,0.0,-1.776956051230405,0.0,-176.22000020374884
2025-06,0,,,,0.0,0.0
2025-07,0,,,,0.0,0.0
2025-08,0,,,,0.0,0.0
