Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,18)","Exit__rsi(C,18)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2"
8287,66,76,1.1945893185437373,1.1924763416923856,1.1924763416923856,1.1985473166152285,-27.401045730339916,9.890806563188375,-0.002767904944521517,2020-09-01 14:30:00+00:00,2020-09-01 17:00:00+00:00,0 days 02:30:00,A_long,0.0015935309999437232,0.0013802111440564104,26.338582279850343,20.888375381554752,1.1948647441459548,1.1914872127052605,1.1978915,1.1958905,1.2009182558540454,1.2002937872947395
8289,77,108,1.1910689963941208,1.1893037466271323,1.1893037466271323,1.1942725067457354,-24.497610152018773,9.865454833451583,-0.002481330760389532,2020-09-01 17:15:00+00:00,2020-09-02 01:00:00+00:00,0 days 07:45:00,A_long,0.0013775163248488926,0.0007378401652338407,29.90731320985786,27.473278704266036,1.1909526869183897,1.190464282997795,1.195597,1.1915865,1.2002413130816103,1.1927087170022053
8276,109,132,1.189988897552761,1.1889945918017195,1.1889945918017195,1.1916508163965611,-18.073108074568587,9.84423367894884,-0.001835141067458582,2020-09-02 01:15:00+00:00,2020-09-02 07:00:00+00:00,0 days 05:45:00,A_long,0.0007727948098693436,0.0010364709146148691,37.29708493972809,29.87878257711472,1.1903165622206102,1.1892139831720265,1.19154,1.1902465,1.1927634377793899,1.1912790168279734
8272,133,134,1.1884987611882927,1.1871462349024622,1.1871462349024622,1.1908775301950758,-21.01376514022118,9.82566770383136,-0.0021374433586585917,2020-09-02 07:15:00+00:00,2020-09-02 07:30:00+00:00,0 days 00:15:00,A_long,0.0010689414593328798,0.0010957492647551469,23.980717953687716,27.674400794128005,1.188456041808871,1.1879878489507885,1.1900735,1.189931,1.191690958191129,1.1918741510492117
8260,135,138,1.1876486833964819,1.1862451008822938,1.1862451008822938,1.1901897982354122,-21.397772896264552,9.804181329071344,-0.002181225342597861,2020-09-02 07:45:00+00:00,2020-09-02 08:30:00+00:00,0 days 00:45:00,A_long,0.0010496493627877978,0.0010092028592725258,26.74487578945964,21.536655827623008,1.1875643705607202,1.1860582822630128,1.1897730000000002,1.189213,1.1919816294392802,1.1923677177369874
8270,158,215,1.1836283154869767,1.1820729810110029,1.1820729810110029,1.1864440379779941,-22.644790977322305,9.782174861019147,-0.0023133825782937958,2020-09-02 13:30:00+00:00,2020-09-03 03:45:00+00:00,0 days 14:15:00,A_long,0.0012256248253867859,0.0005235942770820076,30.622238911400586,24.6681921672141,1.1840151191804205,1.1814630140703744,1.185861,1.183453,1.1877068808195796,1.1854429859296258
8270,219,222,1.1809880738747642,1.1801588385327115,1.1801588385327115,1.1823823229345771,-16.621118761580767,9.763342482804912,-0.0017018027893053894,2020-09-03 04:45:00+00:00,2020-09-03 05:30:00+00:00,0 days 00:45:00,A_long,0.0006286166152640029,0.0006926787270325748,19.07829281912899,11.394762551578339,1.180749517880588,1.179979804641564,1.182658,1.1821169999999999,1.184566482119412,1.1842541953584358
8264,223,228,1.1798279677118226,1.1788987855275608,1.1788987855275608,1.1813924289448783,-17.425020515125112,9.746258944385133,-0.0017871635684063747,2020-09-03 05:45:00+00:00,2020-09-03 07:00:00+00:00,0 days 01:15:00,A_long,0.0007043215634282319,0.0010071640576130986,24.470123388992036,45.535539071233714,1.1797308101508415,1.1790823876690717,1.1819715,1.1812635,1.1842121898491584,1.1834446123309283
-8224,235,244,1.1832716973257922,1.1807171943416068,1.1846814028291965,1.1807171943416068,11.287510219404043,9.720722322536345,0.001159926787274305,2020-09-03 08:45:00+00:00,2020-09-03 11:00:00+00:00,0 days 02:15:00,A_short,0.0010410131544196471,0.0010860954181049097,71.76894110974729,36.2795952110215,1.1791223409381693,1.1796815432335064,1.1811185,1.181743,1.1831146590618307,1.1838044567664936
-8225,254,261,1.184511583841268,1.181888584623806,1.1860157076880968,1.181888584623806,11.842347870812393,9.731820692812619,0.0012155213616065407,2020-09-03 13:30:00+00:00,2020-09-03 15:15:00+00:00,0 days 01:45:00,A_short,0.0011708999969589303,0.0013827230392507023,63.801150392983985,42.323725805562724,1.180130960695025,1.1800115626648808,1.1823190000000001,1.1826765,1.1845070393049753,1.185341437335119
