month,trades,pf,winrate,dd,gp,gl
2023-09,1,0.0,0.0,-0.2139434550161079,0.0,-21.394345501611465
2023-10,0,,,-0.0,,
2023-11,1,,100.0,-0.0,48.04193254142393,0.0
2023-12,2,0.0,0.0,-0.6337013838996985,0.0,-56.83842144540937
2024-01,0,,,-0.0,,
2024-02,2,0.6141873332123998,50.0,-0.22279130786504453,13.683593541605816,-22.309616643517998
2024-03,0,,,-0.0,,
2024-04,0,,,-0.0,,
2024-05,0,,,-0.0,,
2024-06,0,,,-0.0,,
2024-07,2,0.0,0.0,-0.42002492149602055,0.0,-42.00249214960071
2024-08,2,6.36757452480887,50.0,-0.17692094478064524,22.721007356910807,-3.5758994062750205
2024-09,0,,,-0.0,,
2024-10,1,0.0,0.0,-0.193003205165021,0.0,-19.300320516501138
2024-11,2,0.0,0.0,-0.7442198930743049,0.0,-71.32185694016829
2024-12,0,,,-0.0,,
2025-01,1,0.0,0.0,-0.2916155208947946,0.0,-29.161552089478626
2025-02,0,,,-0.0,,
2025-03,0,,,-0.0,,
2025-04,0,,,-0.0,,
2025-05,0,,,-0.0,,
2025-06,1,0.0,0.0,-0.5555040735981454,0.0,-29.130924628752062
2025-07,1,0.0,0.0,-0.2993493786946022,0.0,-29.93493786946122
2025-08,0,,,-0.0,,
